tweet,label
jon amp kate just broke up my heart aches for them,-1
on my way to the beach with my best friend and my son   the only way it could be better were if my husband were with us  maybe tom,-1
i am slightly obsessed with chuck  alas we only have three episodes of season two left to watch,-1
good morning everyone  off to work for me  yall have a great day,1
ugh i woke up so late my leg still hurts from that charlie horse saturday afternoon haha i really want food but im already late,-1
fuck i love that word because it feels so bad to say fuck  fucking love go screw yourself,1
i think i tweet 2 much  haha i have nooooo life,-1
another working week starts   i have got a sore throat,-1
going out to eat healthy indian food yum yum and moving in one week,-1
has been a college grad for two years and two days,-1
ps  i cant believe some women actually enjoy being pregnant,-1
the swine flu is almost here  we are going to die,1
dont you just love having peace and quiet at lunch time,1
head down to do some revision for last day of exams tomorrow,1
my throat hurts  i cant even speak,-1
cereal cereal cereal cereal cereal cereal cereal yeah im excited,1
i am totally broke,-1
dads leaving me for how long,-1
bored what should i do today,1
its cold and raining i wanna go back to turkey,-1
is watching over a beautiful angel,1
there was a time where i had time to lose time  dead tied,-1
ouch my grade took a big hit,-1
some people are just kind off out right now pity,-1
iced tea  icarly  fun time,1
yay lunch is here only 5 more hours,1
fell asleep on the couch while watching tv just waking w a headache amp feeling like im gunna be sick,-1
too much hungry  waiting for my hubby to come home sigh,-1
has metro station stuck in head,1
just woke up and my stomach hurts,-1
a beautiful saturday morning and im awake before noon to enjoy it,1
feeling a little under the weather  hopefully it will pass soon,-1
im having high fever,-1
gotta love jelly on a warm sundays eve,1
wants this sickness to go away,-1
looks like im pretty much poor now,-1
good morning tweeters  happy mothers day  i have the best mom i am lucky,1
really bad fever,-1
excited for tonight  if only this stupid headache would go away,1
ugh studying for a chem test this blows,-1
off to school now  hopefully itll be sunny like yesterday i need a tan,1
awesome day today  with matt  best day for a long time and i made pizza well matt did hehe  x,1
eating at the best place in the whole wide world,1
took a day off from school not feeling well  gosh its horrible weather outside too xd,-1
bus arrived 17 mins late but i dont think were going anywhere soon since the driver got off,-1
have to do so many things before work but theres only one thing i really want to do,-1
in eye doctors office made me take my contacts out and i cant see,-1
whats wrong,-1
had a lovely night with the best boyfriend and two very good friends,1
in the office and not listening to green day in central park,-1
trying to get over this hangover,-1
is gonna leave class now  yay lol love u bee,1
my background makes me smile  nighty night,1
i cant believe its june already,1
snow is going away and it probably wont come back in the morning,-1
in on school hangin with friends yay,1
im getting sick  my brother and his gf had a stomach virus this past week i really hope im not next,-1
is absolutely sick of riding the bus sick of school and sick of living so far from the church what an attitude,-1
finished with essay  watched taken and ate chinese food from a new restaurant yay,1
hey  im bored  and its raining,-1
coldplay concert with my best friend she rocks,1
happy june everyone my  birthday is on wednesday,1
at home with a sprained ankle,-1
i think by computer might be dead as in like it has crashed i got the blue screen twice today   shit,-1
i cant believe its monday already got a long week ahead,1
going to go fall asleep in his arms and get some real rest   he is so good  what took me so long  sigh,1
sad my parents are going home,-1
mouth amp nose still hurt,-1
im falling asleep i can barely keep my eyes open problem is i have a lot to finish before tomorrow,-1
oh my god i cant feel my legs my arms im in after gym pain been for a swim though,1
it official  my finger is broken,-1
taking pictures with my favorite cousin,1
i still think that facebook is better but i am being followed and i am following   i shall give it a try,1
period go away  cramps cramps cramps,-1
soooo sleepy but cant sleep on the job  oh well,-1
we cant figure out what kind of puppy to get  fb,-1
well looks like im off to work if you text me ill respond on my break have a good day everyone,1
i have had the worst headache ever in the history of worst headaches today  man i hate those,-1
i guess i should add im thankful to have a job but still id like to stay home,1
mileycyrus dont be miley you are an amazing singer and person and i love you so much am watching hannah montana right now,1
why is my iphone being soooo slow,-1
hello my friends lovely day here again amp of course im inside working,-1
has a hangover boooo,-1
internets going soooooo slow  its really annoying,-1
ok friends im going to sleep i hate myself right now o gosh bleh sorry if i woke everyone  ha,-1
dannywood have a very happy birthday and try to focus on all the good,1
and fist leaving exam is over,1
and to think she wasnt even trying to let me help her,1
oh my god my body is sore from moving everything yesterday gtlt ow,-1
torn between working from home or surfing the net,-1
dissapointed not gettin a job after all,-1
is actually going mental being stuck in on her own,-1
watching last weeks one tree hill online,1
i still have not seen the hangover   hopefully i can catch it tomorrow morning before work as for now im off to work woe is me,-1
woot  have my first follower and i dont know him either   im famous,1
i have completely given up on trying to make plans and do things this summer not a thing is working out   fb,-1
just woke up about to eat some brunch and pick up my room a little bit its a mess,1
if you dont have a smile ill give you one of mine,1
i am like the living dead today 5 hours sleep is just not enough tweet later have a good day everyone,1
i still really really love the tattoo on my wrist it makes me happy everytime i see it,1
is thanking the lord for all of his blessings especially the one with red hair,1
my feet hurt  i only felt it when i took a rest hehe xd,-1
sam is listening to radio disney,1
listening some music here alone,-1
sitting in the garden having lunch reading a book nice weather,1
about to head back out into the cold  haha its not really that bad,-1
the sun is shining,1
back to work had a cold for last 4 days feeling a bit better miss the other half,-1
my allergies have been killing me all day,-1
in rehearsal amp twitter amp fb this is fun lol,1
is too tired to be up this early   i want some good eats and i think sophie is trying to poop,-1
hurting so bad right now i wish there was someone to talk to,-1
oh god my laptop is broken  i need someone to fix it  i hate this stupid computer i now have to use its sooo slow,-1
i want to accept this loss but its just not in me right now  there still has to be a chance,-1
kirstiealley i hate going to the dentist,-1
time to sleep ill just wake up every 20 minutes haha,1
tired of being poor,-1
i have a stomach ache it hurts,-1
i think my eyes were bigger than my stomach,-1
advance happy anniversary love i love you,1
yesterday night was awesome nice food nice drink nice music not so good film but nice company,1
has anyone seen brian ive lost him,-1
been away from twitter for a bit over 200 posts to catch up on you people have been busy,1
still sick and so it steve,-1
computers gonna die and too lazy to get up to get the charger so i guess its bedtime,1
the only thing keeping me going is that my lakers are giving me what i need,1
ugh i have a headache and a little dizzy feel bad,-1
following alot more ppl now,1
man the moon is bright tonight goodnight all,1
has a bone to pick with tv right now,1
back and relax whilst i do all the work coz apparently its girly work oh and he gets to take orders frm me yeah,1
i got accepted into grad school,1
my stomach hurts,-1
we got very little rain here in fact it has all but stopped  i think its supposed to be sunny and warm tomorrow i will be sleeping,1
i forgot i had a twitter account uh summers awesome so far no work  no money though  hows your may been,-1
im amazed at how great new moon is looking,1
30 minutes until my birthday,1
haters r so much closer than they may seem sometimes but hey if u need someone to envy feel free to envy me i love it,1
noo popcorn is the menu today,1
whether he is bot or not has anything to do with me,1
cant say everything though,-1
sad to be stuck in work on such a nice day,-1
had a great weekend time to start a new productive week enjoy your day folks,1
ugh ugly but,-1
heading out to shop til i drop and because im pregnant that shouldnt take long,1
in bed missing her more than ever hate when shes acting like this,-1
gettin tired in my life  do i always have to understand people but they dont understand me,-1
and i cried again  scared to go to my mom cuz she will freak out,-1
fucked up a bit the german final test its ok my bf doesnt pass this year she came crying to me,-1
today is our 2nd wedding anniversary,1
monday again expecting heavy traffic,-1
so tired  and i dont feel so good,-1
think i lost my keys theres bad luck then theres me,-1
tears are words the heart cant express,1
tommcfly its crazy how they know exactly what time youll be there  little scary well have fun anyway,1
still feeling sick and dizzy please make it go away,-1
thought i was doing a good thing baking cookies this afternoon but then like a bunch of kids hubby amp i ate too many and ruined our dinner,-1
tired and sore  bummed that the wedding fun is over,-1
im gonna be sad tomorrow being back in the office is gonna suck compared to being at the beach but damn im tan,1
well beautiful in blue is finished i decided to finish it there,1
im confused normally everyone should be happy in this situation but i am not,-1
finally seeing some progress on this stupid project,1
i love adam hills,1
im up its 7 am my bday is comming soon,1
about to have dinner for my best friends 20th she is getting old happy birthday kate,1
waiting for joey learning to play the guitar  taylor swift songs are the best,1
hey mitchelmusso ur new music video is awesome congratulations,1
really cant be bothered to go back to school tomorrow n,-1
iremember the bad times here in northern ireland,-1
is extremely bored needs to find something to do today,-1
hello taco bell    the night was a success,1
waiting at the bus stop to go home it is cold enough to see my breath in june,-1
happy half birthday to me,1
gahh i cannot stop smiling coz i cant stop thinking about last night gahh,1
melbourne just had her best sunset in long time and as always i didnt bring my camera,-1
fishing with family and friends thank god todays shiny,1
i have insomnia  i cant sleep,-1
wish people would realise how much they hurt me,-1
i just fell off a stage and broke my ankle  i just fell off a stage and broke my ankle,-1
good morning  anyone want ice cream for breakfast,1
i am officially sick,-1
back from lunch now and on reception again this afternoon so wont be able to tweet much,-1
trying out tweetie for mac to see if it fits what i want in a twitter client no,-1
gonna sit in the garden and finish my book,1
nights not over yet what to do what to do,1
so happy diversity won last night,1
is wondering whats the point of twitter if no one replies,-1
awake such a busy day and its yucky out that stinks,-1
so tired rain rain go away,-1
off to school i could so go for a nap right now,1
bored as hell at home like always  haha i miss my lover face like crazy  i love you baby  i wish u were here still here,1
is home and having dinner yummy fish fingers,1
am i the only one where twitter is being really lame maybe its my comp,-1
my sis says shes fed up of i wanna wake up where you are,-1
just in  im tired and should be studying but know what stuff it,1
k i lied im not sleeping  another one,-1
early to my appointment great  ginger bean,-1
went to six flags  hung out with friends  ate boston market  today was a good day,1
coffee is the best thing in the morning,1
well crap i was wrong about sytycd being on tonite,-1
mileycyrus what about selena   all three of yall should sleepover together  team wait for it  miley demi amp selena lt3,-1
im at work but i still think im dying,-1
finally off work got a headache,-1
ok no more twitter for the next couple hours  ill get my fix later  or if something really good happens,1
watching the wedding singer one of my favorite shows,1
headache headache go away come again another day,-1
is leaving to go up town  my shoulder is gone  i think soccer is off the menu today,-1
so hes making it up to me this friday  i hate that i cant for the life of me stay made at him ha,1
getting mad at my skin  wishing that itll all be clear soon,-1
is feeling a bit under the weather,-1
takin a break hows everyone,1
going to sleep or at least trying to,1
i have found a cute as vintage dress on ebay buy it me someone,1
i just miss you so much right now,-1
wondering what and how sam is doing we got spoiled this weekend with so much news and updates maybe hell answer,1
good morning  maybe got a new job which is awesome feeling sick a little bit,-1
a nice weather a yummy pasta sonny with a chance episodes nice  the pasta is really yummy lol,1
i will mostly likely be up all night now due to sleeping 5 hours earlier watching role models right now lmao  instant classic,1
is you have ideas on a cool gift let me know  i have none,-1
about to report my 3rd chrome bug,1
urgh having problem with pic again  twitter really doesnt like me,-1
someone tell my puppy to leave me alone and get out of my face when i dont feel well,-1
goodnight      i love sleeping cuz of the amazing dreams,1
why mom isnt back yet i need to tell her something b4 i go to bed,-1
awe jay and conan,1
i am soooooo tired because i was up all last night because of the storm,-1
is the proud new owner of a brand new macbook pro,1
oh what a beautiful morning oh what a beautiful day ive got a wonderful feeling everythings going my way,1
16 hour nonstop day cant do much  work in the am all over again,-1
sad because my niece just broke her arm,-1
still thinkin bout the lakers win i knew they would but not the blow out it was,1
it is so cold in this car  i am so ready for the beach,-1
has had no internet all day,-1
is not happy i think i have a sore throat coming on and i so hate having a sore throat,-1
could quite possibly be falling for this guy,1
is off to sleep bye ppl take good care of urself c u guys tomorrow,1
about to eat dinner im thinking italian i love my boyfriend,1
happy sunny day everyone going back to school tomorrow,-1
had one crazy weekend now im almost to tired to work this is going to be one long day,-1
very busy school sucks going to doctor tomorrow again,-1
getting my classes for the fall there goes my social life,-1
time for some pink berry,1
glad i got to see me baby  goin to bed work tomorrow,1
grrr none of my editing software works on this computer      if anyone has a good one that you dont want tell me p,-1
i did nothing today and it was everything i thought it could be,1
falling is easy getting back up is the hard part,1
the worst part about starving urself is that all you think about is food,-1
suffering from hayfever,-1
arm on my chair just broke,-1
just found a bruise on the back of my arm  i hope it goes soon,-1
watching biggest loser  wish i could lose 80 pounds fuck,1
had a chill ass time today even tho i fell asleep most of the time  another great time in the books,1
thinks life really isnt fair especially when bad things happen to good people,-1
what a lovely sunny day it was today  tip top mood,1
oh my god i love sleeping in good afternoon,1
my butt is going numb just thought you guys would like to know that,1
had a fun afternoon and is tired  and didnt get any work done  and should start packing up,-1
i need to leave and go far far away i cant take all this y is it so hard for me,-1
need 2 go to job,-1
sports day at the primary giving a wee hand cya all later gutted no more nba games though,-1
taylorswift13  you are so awesome ur like my idol  keep writing those awesome lyrics  i made a poem out of ur songs once xd,1
gonna go and eat sushi with my brother and his girlfriend see you all later,1
hangin with amanda  today was exciting and very new d,1
the hospital getting tests done for work  i hate shots,-1
time for another wonderful day im so happy to be here,1
dannymcfly eat sushi for me danny,1
im crying  my brother is so mean he really thinks he can do what he wants,-1
home for the night knee is killing me,-1
woohoo  titanic is a trending topic    i  titanic,1
this week is horrible the latest i slept in was 9 am,-1
is off 2 hospital  7am in the morn  ni nite folks,1
great my dads going into surgery in 20 minutes or so and i have an 8 hour shift at work that i cant get out of,-1
red wings game  8 hopefully that will make me smile,1
morning everyone  just finished my breakfast coffee gonna start some things to do have a great day,1
going to the doctor tomorrow i need to go see what the hell is going on with my face,-1
last day of lessons then it is just revision until the exams,1
watching the hills finale and then the mtv movie awards,1
i cooked a fabulous meal i am now full and happy,1
lilyroseallen how do you ever get any rest,-1
home really bored swear im never gonna stay home for a day again   httptweetsg,-1
cannot sleep because of drinking too much coffee,-1
good night tweets hope everyones nite is pleasant,1
1st day of winter in sydney amp its living up to it its a cold amp rainy day,-1
i had a nightmare,-1
laying in bed watching harry potter with my mama,1
goodnight twitter bugs  today was lovely,1
guys  im here at the computer shop   playing online games   later i will reply to your messages,1
ijustine i really love the new music video put a smile on my face  good work,1
miley cyrus  the climb,1
still studying for science final  im tired of finals at least this is the last one,-1
dont want to do french homework,-1
too early to be awake  mmm what should i do today,-1
homework  my whole body is aching,-1
morning everyone or afternoon or good evening thats the beauty of twitter its world wide,1
im back from my exam i think it went well,1
and now it sets in that hes really leaving for a month,-1
im sick and vodka doesnt seem to be fixing it,-1
is eating fried rice for breakfast,1
im kind of excited to watch my baby play bass tonight,1
batteries about to die,-1
i hate working sundays but its my last sunday at this job and tomorrow will be wonderful thinking positive,1
ouch badly hurt,-1
tomorrow morning is going to come too quickly im not tired at all,-1
whos ready to fail ap world  me,1
just woke up kinda bored at home going to do some more shopping later and tonight dinner wit my main ones,1
ugh he hasnt updated in forever  that sucks im gonna email him,-1
going to to do my stupid papers,-1
what a beautiful day it was today  tonight dinner and a late movie,1
anyone had issues updating their twitter photo the site doesnt want to save my latest one,-1
i lost my phone again  freak,-1
wow thanks guys we got 6 comments on our blog today which is amazing for us,1
i keep changing songs but it always comes back to andrew bird  bird is the word,1
ebassman poor thing and her little boys,-1
sick stressed sad i need a cigarette,-1
i hate when i want to sleep but cant,-1
too much heat i miss winter,-1
grease 2,1
gonna go and eat  dinner with my parents gosh i hope they dont ask me about my crush lol talk to you guys later,1
race day go jr amp tony,1
watched the mtv movie awards well done twilight,1
drinking coffee while watching a beautiful sunrise what else would i want to do,1
about to watch hangover should be funny,1
super sad at the fact that rafa will not be playing wimbledon,-1
gooood morning ughh ive been sick for like a whole week already,-1
french toast w bacon and strawberries for breakfast yum,1
yay its my friends birthday tomorrow im making him a card,1
bones lt3 my heart beats for you  what an awesome show what would i do without it,1
did not mean to be up this early   going in to work in a couple hours,-1
sun is shining,1
fuck i hate hiccups,-1
in bed pissed off that i have flu grr,-1
back to office enjoyed being at sf wish the weather had been better a bit tired and lots of things to do,1
mileycyrus miley you are so cool  hannah montana the movie is the best,1
dannygokey yr right i dont see ur good lookin face either,-1
a great big thank you and welcome to all my new followers  i cant wait to see what you all have to tweet about  have a great day,1
just got back from the most amazing concert ever  i am going to marry that boy,1
ddlovato i wish you a pleasant day with selena and miley,1
okay kitty has gone to bed before me thats kind of sad  i need to go see to my girl   talk to you all later,1
ddlovato awesome  cant wait to buy the new album amp watch the video,1
well write a song that turns out the lights lt3,1
is watching mickey mouse with the kids,1
just read a review of our site holding page made me smile,1
is having a very interesting conversation with an old friend who is recently single lol,1
dear finger the word is ouch  and yes the rest of my body feels your pain if im lucky your not broken ps the color change doesnt,-1
ahhh home sweet home  im off til monday morning thats the good news bad news the rain clouds finally broke its pouring,-1
sat in the sun listening to dream theater,1
stomach ache also  geez whats wrong with me,-1
therealjordin goodluck to you at this special event,1
not feeling so nice the word fat shouldnt exist,-1
watching this movie and hopefully ill fall asleep cuddling my little man  which fell asleep about 2 hours ago lol,1
i have a headache and my internet isnt working,-1
wants to record so bad but may wake up the girl friend from her beauty rest   oh i have insomnia,-1
jonasbrothers your tweets seriously suck,-1
tired from an amazing show headed back to rock hill,1
is back at uni miss the family already,-1
yahoo  i have 300 followers now,1
misses her babies  she feels so lonely right now,-1
my fake plants died because i did not pretend to water them,-1
so bored being home with nothing to do is torture,-1
long day gonna go lay down and listen to jb miley demi honor society amp school boy humor then going sleep  goodnight america lt33,1
it is too hot florida sucks,-1
am just getting changed to start work  sucks,-1
oh yay its monday i woke up with a serious headache oh well summer is officially here for me,1
making brownies on the 6th floor,1
songzyuuup im sad i cant see u go ham but i kno u gonna kill it papa nothin is safe lol,1
time for bed falling asleep long day tomorrow ima be so sore i cant already feel it,-1
stephenfry looking forward to seeing it i love your character on the show,1
woke up to early and cant go back to sleep,-1
still working on trying to get this twitter thing down still am not completely understanding it all but im not goin anywhere,1
almost ready isnt it too late to go out  11 pm uh may be its me too lazy,1
oh amp happy sunday to folks on the other side of the world,1
listening to all taylor swift songs,1
hmm never found that bug,-1
ddlovato demi you are such a wonderful person i just love your ideas,1
such a bad fucking headache,-1
please god no i cant have woken up at 7 am on a saturday,-1
first sleep then spending the day with mom since its mothers day and all there might even be chinese,1
just finished watching house md  probably one of my most fave episodes,1
im worried about my computers class mark its giving me a headache,-1
saw angels amp demons truly great,1
is sleepy her boyfriend got her up early as he had to revise again,-1
no rest for the wicked sunday evening and orders to fill cant complain though,1
i havent been this happy in a long time actually thats a lie but im still really happy,1
stoked to go see transformers but no one wants to go with me on thursday nite cuz they are working or be cuz the think im a dork,-1
how the hell those stupid ads can work i hate them,-1
mitchelmusso you didnt have to walk away lt3 its been on repeat for the past two hours,1
loves apple pie and ice cream,1
feeling worse about to go make myself some tea cause theres no one here to do it for me,-1
chillin home bored after work  hehe tryin to figure this whole twitter site out lol im new,1
drawing whilst listening to lily allen album  good combination feeling full of happy today,1
btw ear is getting better its about time finally  i say goodnight twitter world even though yall are already asleep xoxo,1
thinking about the past brings me alot of tears  but everything happens for a reason,-1
goodnight everyone  sweet dreams xo,1
crying  what happened to all you need is love,-1
jonathanrknight care to share why your day went so well were interested in boring details like that,1
studying human rights for her exams tomorrow i have a lot to catch up on,-1
